Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
Register X: 0x36, Register Y: 0x2d, Register F: 0x01
